Info 0    [17:22:54.085] Starting TS Server
Info 25   [17:26:09.464] Different program with same set of files
Info 26   [17:27:03.335] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [17:27:03.351] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: true structureIsReused:: SafeModules Elapsed: 14.87295913696289ms
Info 28   [17:27:03.351] Different program with same set of files
Info 29   [17:27:03.815] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [17:27:03.842] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: true structureIsReused:: SafeModules Elapsed: 26.698535919189453ms
Info 31   [17:27:03.842] Different program with same set of files
Info 32   [17:27:04.301] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [17:27:04.325] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: true structureIsReused:: SafeModules Elapsed: 24.66880512237549ms
Info 34   [17:27:04.326] Different program with same set of files
Info 35   [17:27:04.790] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [17:27:04.817] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: true structureIsReused:: SafeModules Elapsed: 26.73524570465088ms
Info 37   [17:27:04.817] Different program with same set of files
Info 38   [17:27:08.000] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [17:27:08.022] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: true structureIsReused:: SafeModules Elapsed: 21.642624855041504ms
Info 40   [17:27:08.022] Different program with same set of files
Info 41   [17:27:08.506] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 42   [17:27:08.526] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: true structureIsReused:: SafeModules Elapsed: 19.72293472290039ms
Info 43   [17:27:08.526] Different program with same set of files
Info 44   [17:27:08.528] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [17:27:08.540] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: true structureIsReused:: SafeModules Elapsed: 11.706880569458008ms
Info 46   [17:27:08.540] Different program with same set of files
Info 47   [17:27:08.905] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 48   [17:27:08.922] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: true structureIsReused:: SafeModules Elapsed: 17.151665687561035ms
Info 49   [17:27:08.923] Different program with same set of files
Info 50   [17:27:09.337] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [17:27:09.357] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: true structureIsReused:: SafeModules Elapsed: 19.056486129760742ms
Info 52   [17:27:09.357] Different program with same set of files
Info 53   [17:27:40.032] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [17:27:40.042] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 9.655158996582031ms
Info 55   [17:27:40.042] Different program with same set of files
Info 56   [17:27:41.134] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [17:27:41.142] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 8.021044731140137ms
Info 58   [17:27:41.142] Different program with same set of files
Info 59   [17:27:41.143] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [17:27:41.149] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 5.468998908996582ms
Info 61   [17:27:41.149] Different program with same set of files
Info 62   [17:27:41.419] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [17:27:41.431] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 11.208369255065918ms
Info 64   [17:27:41.431] Different program with same set of files
Info 65   [17:27:41.432] getCompletionData: Get current token: 0.01642894744873047
Info 66   [17:27:41.432] getCompletionData: Is inside comment: 0.052206993103027344
Info 67   [17:27:41.432] getCompletionData: Get previous token: 0.04764366149902344
Info 68   [17:27:41.432] getCompletionsAtPosition: isCompletionListBlocker: 0.003223419189453125
Info 69   [17:27:41.432] Returning an empty list because completion was requested in an invalid position.
Info 70   [17:27:41.654] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 71   [17:27:41.666] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 11.598091125488281ms
Info 72   [17:27:41.666] Different program with same set of files
Info 73   [17:27:41.994] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 74   [17:27:42.005] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 10.778223037719727ms
Info 75   [17:27:42.006] Different program with same set of files
Info 76   [17:27:43.259] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 77   [17:27:43.268] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 8.59973430633545ms
Info 78   [17:27:43.268] Different program with same set of files
Info 79   [17:27:43.269] getCompletionData: Get current token: 0.012593269348144531
Info 80   [17:27:43.269] getCompletionData: Is inside comment: 0.04094219207763672
Info 81   [17:27:43.269] getCompletionData: Get previous token: 0.05630207061767578
Info 82   [17:27:43.269] getCompletionsAtPosition: isCompletionListBlocker: 0.24163436889648438
Info 83   [17:27:43.280] getExportInfoMap: cache miss or empty; calculating new results
Info 84   [17:27:43.282] getExportInfoMap: done in 2.501877784729004 ms
Info 85   [17:27:43.283] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 86   [17:27:43.283] collectAutoImports: response is complete
Info 87   [17:27:43.283] collectAutoImports: 0.6017179489135742
Info 88   [17:27:43.283] getCompletionData: Semantic work: 13.605672836303711
Info 89   [17:27:43.307] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 23.634427070617676
Info 90   [17:27:43.313] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 91   [17:27:43.317] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 4.022646903991699ms
Info 92   [17:27:43.317] Different program with same set of files
Info 93   [17:27:43.317] getCompletionData: Get current token: 0.0053043365478515625
Info 94   [17:27:43.317] getCompletionData: Is inside comment: 0.014977455139160156
Info 95   [17:27:43.317] getCompletionData: Get previous token: 0.023435592651367188
Info 96   [17:27:43.317] getCompletionsAtPosition: isCompletionListBlocker: 0.01180267333984375
Info 97   [17:27:43.320] getExportInfoMap: cache hit
Info 98   [17:27:43.320] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 99   [17:27:43.320] collectAutoImports: response is complete
Info 100  [17:27:43.320] collectAutoImports: 0.09134101867675781
Info 101  [17:27:43.320] getCompletionData: Semantic work: 3.0448856353759766
Info 102  [17:27:43.332] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11.868280410766602
Info 103  [17:27:43.949] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 104  [17:27:43.960] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 10.101845741271973ms
Info 105  [17:27:43.960] Different program with same set of files
Info 106  [17:27:45.395] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 107  [17:27:45.407] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 12.072527885437012ms
Info 108  [17:27:45.407] Different program with same set of files
Info 109  [17:27:54.087] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 110  [17:27:54.101] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 13.45324993133545ms
Info 111  [17:27:54.101] Different program with same set of files
Info 112  [17:27:55.195] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 113  [17:27:55.207] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 11.559185981750488ms
Info 114  [17:27:55.207] Different program with same set of files
Info 115  [17:28:01.024] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 116  [17:28:01.036] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 11.184191703796387ms
Info 117  [17:28:01.036] Different program with same set of files
Info 118  [17:28:10.398] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 119  [17:28:10.408] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 10.630022048950195ms
Info 120  [17:28:10.409] Different program with same set of files
Info 121  [17:28:10.693] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 122  [17:28:10.704] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 11.084041595458984ms
Info 123  [17:28:10.704] Different program with same set of files
Info 124  [17:28:15.240] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 125  [17:28:15.252] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 11.655335426330566ms
Info 126  [17:28:15.252] Different program with same set of files
Info 127  [17:28:15.518] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 128  [17:28:15.527] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 8.92179012298584ms
Info 129  [17:28:15.527] Different program with same set of files
Info 130  [17:28:16.841] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 131  [17:28:16.851] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 9.47904109954834ms
Info 132  [17:28:16.851] Different program with same set of files
Info 133  [17:28:17.349] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 134  [17:28:17.357] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 8.199920654296875ms
Info 135  [17:28:17.357] Different program with same set of files
Info 136  [17:28:20.815] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 137  [17:28:20.825] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 9.743885040283203ms
Info 138  [17:28:20.825] Different program with same set of files
Info 139  [17:28:31.554] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 140  [17:28:31.564] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 9.800302505493164ms
Info 141  [17:28:31.564] Different program with same set of files
Info 142  [17:28:31.582] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 143  [17:28:31.588] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 5.83198356628418ms
Info 144  [17:28:31.588] Different program with same set of files
Info 145  [17:28:32.586] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 146  [17:28:32.596] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 10.112006187438965ms
Info 147  [17:28:32.596] Different program with same set of files
Info 148  [17:28:33.723] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 149  [17:28:33.732] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 8.457380294799805ms
Info 150  [17:28:33.732] Different program with same set of files
Info 151  [17:28:44.220] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 152  [17:28:44.232] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 11.370040893554688ms
Info 153  [17:28:44.232] Different program with same set of files
Info 154  [17:28:44.533] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 155  [17:28:44.539] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 5.953042984008789ms
Info 156  [17:28:44.539] Different program with same set of files
Info 157  [17:28:44.736] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 158  [17:28:44.749] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: false structureIsReused:: Completely Elapsed: 12.583775520324707ms
Info 159  [17:28:44.749] Different program with same set of files
Info 160  [17:28:52.965] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 161  [17:28:52.977] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: false structureIsReused:: Completely Elapsed: 11.117218017578125ms
Info 162  [17:28:52.977] Different program with same set of files
Info 163  [17:28:53.334] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 164  [17:28:53.344] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: false structureIsReused:: Completely Elapsed: 10.352670669555664ms
Info 165  [17:28:53.344] Different program with same set of files
Info 166  [17:29:04.822] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 167  [17:29:04.832] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 43 structureChanged: false structureIsReused:: Completely Elapsed: 10.413644790649414ms
Info 168  [17:29:04.832] Different program with same set of files
Info 169  [17:29:05.500] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 170  [17:29:05.509] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 44 structureChanged: false structureIsReused:: Completely Elapsed: 8.949639320373535ms
Info 171  [17:29:05.509] Different program with same set of files
Info 172  [17:29:27.991] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 173  [17:29:28.002] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 45 structureChanged: false structureIsReused:: Completely Elapsed: 10.753157615661621ms
Info 174  [17:29:28.003] Different program with same set of files
Info 175  [17:29:30.873] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 176  [17:29:30.885] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 46 structureChanged: false structureIsReused:: Completely Elapsed: 11.31877326965332ms
Info 177  [17:29:30.885] Different program with same set of files
Info 178  [17:29:31.675] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 179  [17:29:31.685] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 47 structureChanged: false structureIsReused:: Completely Elapsed: 10.493192672729492ms
Info 180  [17:29:31.685] Different program with same set of files
Info 181  [17:29:34.288] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 182  [17:29:34.297] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 48 structureChanged: false structureIsReused:: Completely Elapsed: 8.696700096130371ms
Info 183  [17:29:34.297] Different program with same set of files
Info 184  [17:29:37.765] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 185  [17:29:37.773] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false structureIsReused:: Completely Elapsed: 7.634000778198242ms
Info 186  [17:29:37.774] Different program with same set of files
Info 187  [17:29:53.432] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 188  [17:29:53.444] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 50 structureChanged: false structureIsReused:: Completely Elapsed: 11.019526481628418ms
Info 189  [17:29:53.444] Different program with same set of files
Info 190  [17:29:54.355] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 191  [17:29:54.368] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 51 structureChanged: false structureIsReused:: Completely Elapsed: 12.876595497131348ms
Info 192  [17:29:54.368] Different program with same set of files
Info 193  [17:29:55.205] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 194  [17:29:55.215] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 52 structureChanged: false structureIsReused:: Completely Elapsed: 9.699103355407715ms
Info 195  [17:29:55.215] Different program with same set of files
Info 196  [17:29:57.309] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 197  [17:29:57.318] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 53 structureChanged: false structureIsReused:: Completely Elapsed: 9.252610206604004ms
Info 198  [17:29:57.318] Different program with same set of files
Info 199  [17:29:57.929] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 200  [17:29:57.939] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 54 structureChanged: false structureIsReused:: Completely Elapsed: 9.615195274353027ms
Info 201  [17:29:57.939] Different program with same set of files
Info 202  [17:29:58.216] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 203  [17:29:58.226] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 55 structureChanged: false structureIsReused:: Completely Elapsed: 9.203317642211914ms
Info 204  [17:29:58.226] Different program with same set of files
Info 205  [17:29:58.482] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 206  [17:29:58.490] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 56 structureChanged: false structureIsReused:: Completely Elapsed: 7.680230140686035ms
Info 207  [17:29:58.490] Different program with same set of files
Info 208  [17:29:59.181] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 209  [17:29:59.189] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 57 structureChanged: false structureIsReused:: Completely Elapsed: 7.474272727966309ms
Info 210  [17:29:59.189] Different program with same set of files
Info 211  [17:29:59.560] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 212  [17:29:59.569] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 58 structureChanged: false structureIsReused:: Completely Elapsed: 8.70180892944336ms
Info 213  [17:29:59.569] Different program with same set of files
Info 214  [17:30:32.384] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 215  [17:30:32.394] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 59 structureChanged: false structureIsReused:: Completely Elapsed: 10.164080619812012ms
Info 216  [17:30:32.394] Different program with same set of files
Info 217  [17:31:10.606] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 218  [17:31:10.617] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 60 structureChanged: false structureIsReused:: Completely Elapsed: 10.44550895690918ms
Info 219  [17:31:10.617] Different program with same set of files
Info 220  [17:31:11.562] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 221  [17:31:11.573] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 61 structureChanged: false structureIsReused:: Completely Elapsed: 10.728745460510254ms
Info 222  [17:31:11.573] Different program with same set of files
Info 223  [17:31:11.576] getCompletionData: Get current token: 0.07899856567382812
Info 224  [17:31:11.577] getCompletionData: Is inside comment: 0.05953502655029297
Info 225  [17:31:11.577] getCompletionData: Get previous token: 0.045577049255371094
Info 226  [17:31:11.578] getCompletionsAtPosition: isCompletionListBlocker: 0.6812973022460938
Info 227  [17:31:11.585] getExportInfoMap: cache hit
Info 228  [17:31:11.586] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 229  [17:31:11.586] collectAutoImports: response is complete
Info 230  [17:31:11.586] collectAutoImports: 0.5276823043823242
Info 231  [17:31:11.586] getCompletionData: Semantic work: 8.162551879882812
Info 232  [17:31:11.602] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.40954303741455
Info 233  [17:31:11.608] getCompletionData: Get current token: 0.008882522583007812
Info 234  [17:31:11.608] getCompletionData: Is inside comment: 0.022985458374023438
Info 235  [17:31:11.608] getCompletionData: Get previous token: 0.018225669860839844
Info 236  [17:31:11.608] getCompletionsAtPosition: isCompletionListBlocker: 0.016267776489257812
Info 237  [17:31:11.611] getExportInfoMap: cache hit
Info 238  [17:31:11.611] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 239  [17:31:11.611] collectAutoImports: response is complete
Info 240  [17:31:11.611] collectAutoImports: 0.09821510314941406
Info 241  [17:31:11.611] getCompletionData: Semantic work: 2.6622304916381836
Info 242  [17:31:11.624] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.588582992553711
Info 243  [17:31:11.763] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 244  [17:31:11.767] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 62 structureChanged: false structureIsReused:: Completely Elapsed: 3.9080934524536133ms
Info 245  [17:31:11.767] Different program with same set of files
Info 246  [17:31:11.768] getCompletionData: Get current token: 0.004626274108886719
Info 247  [17:31:11.768] getCompletionData: Is inside comment: 0.009185791015625
Info 248  [17:31:11.768] getCompletionData: Get previous token: 0.013119697570800781
Info 249  [17:31:11.768] getCompletionsAtPosition: isCompletionListBlocker: 0.014325141906738281
Info 250  [17:31:11.769] getExportInfoMap: cache hit
Info 251  [17:31:11.770] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 252  [17:31:11.770] collectAutoImports: response is complete
Info 253  [17:31:11.770] collectAutoImports: 0.9287624359130859
Info 254  [17:31:11.770] getCompletionData: Semantic work: 2.5727500915527344
Info 255  [17:31:11.781] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10.695067405700684
Info 256  [17:31:11.785] getCompletionData: Get current token: 0.012299537658691406
Info 257  [17:31:11.785] getCompletionData: Is inside comment: 0.036698341369628906
Info 258  [17:31:11.785] getCompletionData: Get previous token: 0.04188346862792969
Info 259  [17:31:11.786] getCompletionsAtPosition: isCompletionListBlocker: 0.14416217803955078
Info 260  [17:31:11.788] getExportInfoMap: cache hit
Info 261  [17:31:11.788] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 262  [17:31:11.788] collectAutoImports: response is complete
Info 263  [17:31:11.788] collectAutoImports: 0.14538002014160156
Info 264  [17:31:11.788] getCompletionData: Semantic work: 2.58730411529541
Info 265  [17:31:11.798] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.285941123962402
Info 266  [17:31:11.970] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 267  [17:31:11.973] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 63 structureChanged: false structureIsReused:: Completely Elapsed: 3.3735857009887695ms
Info 268  [17:31:11.973] Different program with same set of files
Info 269  [17:31:12.331] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 270  [17:31:12.335] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 64 structureChanged: false structureIsReused:: Completely Elapsed: 3.58168888092041ms
Info 271  [17:31:12.335] Different program with same set of files
Info 272  [17:31:12.335] getCompletionData: Get current token: 0.006268501281738281
Info 273  [17:31:12.335] getCompletionData: Is inside comment: 0.010746955871582031
Info 274  [17:31:12.335] getCompletionData: Get previous token: 0.007678031921386719
Info 275  [17:31:12.335] getCompletionsAtPosition: isCompletionListBlocker: 0.014636039733886719
Info 276  [17:31:12.337] getExportInfoMap: cache hit
Info 277  [17:31:12.338] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 278  [17:31:12.338] collectAutoImports: response is complete
Info 279  [17:31:12.338] collectAutoImports: 0.17345237731933594
Info 280  [17:31:12.338] getCompletionData: Semantic work: 2.2444610595703125
Info 281  [17:31:12.343] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.41325569152832
Info 282  [17:31:12.431] getCompletionData: Get current token: 0.010410308837890625
Info 283  [17:31:12.431] getCompletionData: Is inside comment: 0.01611614227294922
Info 284  [17:31:12.431] getCompletionData: Get previous token: 0.01581573486328125
Info 285  [17:31:12.432] getCompletionsAtPosition: isCompletionListBlocker: 0.016541481018066406
Info 286  [17:31:12.434] getExportInfoMap: cache hit
Info 287  [17:31:12.434] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 288  [17:31:12.434] collectAutoImports: response is complete
Info 289  [17:31:12.434] collectAutoImports: 0.08719921112060547
Info 290  [17:31:12.434] getCompletionData: Semantic work: 2.358901023864746
Info 291  [17:31:12.446] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.295246124267578
Info 292  [17:31:12.592] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 293  [17:31:12.595] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 65 structureChanged: false structureIsReused:: Completely Elapsed: 3.8371801376342773ms
Info 294  [17:31:12.596] Different program with same set of files
Info 295  [17:31:12.596] getCompletionData: Get current token: 0.012423515319824219
Info 296  [17:31:12.596] getCompletionData: Is inside comment: 0.012836456298828125
Info 297  [17:31:12.596] getCompletionData: Get previous token: 0.009355545043945312
Info 298  [17:31:12.596] getCompletionsAtPosition: isCompletionListBlocker: 0.037560462951660156
Info 299  [17:31:12.598] getExportInfoMap: cache hit
Info 300  [17:31:12.598] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
